Channels in measurement: A, B
General Device configurations:
Number of runs	1	Threshold voltage	1.0
Channel A:	Average cycles	1	number of stops	1	stop mask	0	mode	2	stop edge	RISE	start edge	RISE
Channel B:	Average cycles	1	number of stops	1	stop mask	0	mode	2	stop edge	RISE	start edge	RISE


Start Time (YY:MM:DD:HH:MM:SS)	Stop Time (ps)	Channel
2025-09-11 18:39:36.288938	110118863	A
2025-09-11 18:39:36.288938	210219420	B
2025-09-11 18:39:36.293161	110118861	A
2025-09-11 18:39:36.293161	210219543	B
2025-09-11 18:39:36.297385	110118686	A
2025-09-11 18:39:36.297385	210219317	B
2025-09-11 18:39:36.301610	110118799	A
2025-09-11 18:39:36.301610	210219486	B
2025-09-11 18:39:36.305835	110116986	A
2025-09-11 18:39:36.305835	210217602	B
2025-09-11 18:39:36.310058	110118803	A
2025-09-11 18:39:36.310058	210219324	B
2025-09-11 18:39:36.314283	110118799	A
2025-09-11 18:39:36.314283	210219546	B
2025-09-11 18:39:36.318507	110118779	A
2025-09-11 18:39:36.318507	210219443	B
2025-09-11 18:39:36.322732	110118571	A
2025-09-11 18:39:36.322732	210221227	B
2025-09-11 18:39:36.326955	110118627	A
2025-09-11 18:39:36.326955	210219181	B
2025-09-11 18:39:36.331180	110118677	A
2025-09-11 18:39:36.331180	210219191	B
2025-09-11 18:39:36.335405	110118683	A
2025-09-11 18:39:36.335405	210219301	B
2025-09-11 18:39:36.339629	110118683	A
2025-09-11 18:39:36.339629	210219496	B
2025-09-11 18:39:36.343854	110117047	A
2025-09-11 18:39:36.343854	210217775	B
2025-09-11 18:39:36.348077	110118742	A
2025-09-11 18:39:36.348077	210219367	B
2025-09-11 18:39:36.352302	110118803	A
2025-09-11 18:39:36.352302	210219370	B
2025-09-11 18:39:36.356526	110118633	A
2025-09-11 18:39:36.356526	210219271	B
2025-09-11 18:39:36.360751	110118795	A
2025-09-11 18:39:36.360751	210221227	B
2025-09-11 18:39:36.364974	110118804	A
2025-09-11 18:39:36.364974	210219390	B
2025-09-11 18:39:36.369199	110118623	A
2025-09-11 18:39:36.369199	210219327	B
2025-09-11 18:39:36.373424	110118686	A
2025-09-11 18:39:36.373424	210219443	B
2025-09-11 18:39:36.377648	110118742	A
2025-09-11 18:39:36.377648	210219377	B
2025-09-11 18:39:36.381873	110115410	A
2025-09-11 18:39:36.381873	210216213	B
2025-09-11 18:39:36.386096	110118743	A
2025-09-11 18:39:36.386096	210219264	B
2025-09-11 18:39:36.390321	110118684	A
2025-09-11 18:39:36.390321	210219251	B
2025-09-11 18:39:36.394546	110118674	A
2025-09-11 18:39:36.394546	210219489	B
2025-09-11 18:39:36.398770	110118745	A
2025-09-11 18:39:36.398770	210221182	B
2025-09-11 18:39:36.402993	110118626	A
2025-09-11 18:39:36.402993	210219436	B
2025-09-11 18:39:36.407218	110118677	A
2025-09-11 18:39:36.407218	210219248	B
2025-09-11 18:39:36.411443	110118620	A
2025-09-11 18:39:36.411443	210219320	B
2025-09-11 18:39:36.415667	110118743	A
2025-09-11 18:39:36.415667	210219436	B
2025-09-11 18:39:36.419892	110117166	A
2025-09-11 18:39:36.419892	210217702	B
2025-09-11 18:39:36.424115	110118627	A
2025-09-11 18:39:36.424115	210219330	B
2025-09-11 18:39:36.428340	110118393	A
2025-09-11 18:39:36.428340	210219175	B
2025-09-11 18:39:36.432565	110118684	A
2025-09-11 18:39:36.432565	210219331	B
2025-09-11 18:39:36.436789	110118803	A
2025-09-11 18:39:36.436789	210221252	B
2025-09-11 18:39:36.441013	110118627	A
2025-09-11 18:39:36.441013	210219264	B
2025-09-11 18:39:36.445237	110118683	A
2025-09-11 18:39:36.445237	210219380	B
2025-09-11 18:39:36.449462	110118512	A
2025-09-11 18:39:36.449462	210219141	B
2025-09-11 18:39:36.453686	110118742	A
2025-09-11 18:39:36.453686	210219244	B
2025-09-11 18:39:36.457911	110117101	A
2025-09-11 18:39:36.457911	210217712	B
2025-09-11 18:39:36.462134	110118682	A
2025-09-11 18:39:36.462134	210219324	B
2025-09-11 18:39:36.466359	110118803	A
2025-09-11 18:39:36.466359	210219430	B
2025-09-11 18:39:36.470584	110118682	A
2025-09-11 18:39:36.470584	210219333	B
2025-09-11 18:39:36.474808	110118860	A
2025-09-11 18:39:36.474808	210220943	B
2025-09-11 18:39:36.479032	110118686	A
2025-09-11 18:39:36.479032	210219377	B
2025-09-11 18:39:36.483256	110118861	A
2025-09-11 18:39:36.483256	210219490	B
2025-09-11 18:39:36.487481	110118610	A
2025-09-11 18:39:36.487481	210219138	B
2025-09-11 18:39:36.491706	110118684	A
2025-09-11 18:39:36.491706	210219353	B
2025-09-11 18:39:36.495930	110118800	A
2025-09-11 18:39:36.495930	210219500	B
2025-09-11 18:39:36.500154	110118802	A
2025-09-11 18:39:36.500154	210219549	B
2025-09-11 18:39:36.504378	110118683	A
2025-09-11 18:39:36.504378	210219251	B
2025-09-11 18:39:36.508603	110118580	A
2025-09-11 18:39:36.508603	210219204	B
2025-09-11 18:39:36.512827	110115414	A
2025-09-11 18:39:36.512827	210216034	B
2025-09-11 18:39:36.517051	110118744	A
2025-09-11 18:39:36.517051	210219503	B
2025-09-11 18:39:36.521275	110118684	A
2025-09-11 18:39:36.521275	210219387	B
2025-09-11 18:39:36.525500	110118686	A
2025-09-11 18:39:36.525500	210219261	B
2025-09-11 18:39:36.529725	110118820	A
2025-09-11 18:39:36.529725	210222589	B
2025-09-11 18:39:36.533948	110118683	A
2025-09-11 18:39:36.533948	210219433	B
